OrthoPixelX,OrthoPixelY,UTM_11N_X,UTM_11N_Y,Latitude,Longitude
861.5,2472,682346.867485,4029717.65902,36.3953266695223,-114.966723044336
2296.33333333333,1516.66666666667,682424.879373333,4029769.60049333,36.3957798348003,-114.965841460987
2397.5,817.5,682430.379805,4029807.614185,36.3961212803998,-114.965771234022
2780.33333333333,2185.33333333333,682451.194453333,4029733.24508667,36.3954472883976,-114.965556737207
4073.66666666667,2749.66666666667,682521.512986667,4029702.56228333,36.3951574910768,-114.964780298911
4393.5,701,682538.902325,4029813.94829,36.3961577355388,-114.964560331494
4964.5,558.5,682569.947595,4029821.696015,36.3962216407172,-114.964212530686
5832.5,1304,682617.140755,4029781.16318,36.3958474852816,-114.96369612273
5949.66666666667,3091.66666666667,682623.511106667,4029683.96774333,36.3949705787218,-114.963647981747
6874,988.5,682673.76711,4029798.316915,36.3959912691168,-114.963061026853
7299,2676,682696.87436,4029706.56754,36.3951602471054,-114.962825092702
7863.5,2209.5,682727.566225,4029731.931145,36.3953829271324,-114.962477089512
